pc4,buurt_key,address_count
2105,03970009,966
2106,03970002,698
2111,03770200,1025
2114,03770300,911
2116,04730302,264
2121,03770400,562
2131,03940105,2052
2132,03940110,2540
2133,03940108,1824
2134,03940116,3844
2135,03940114,3287
2136,03941294,710
2141,03941567,858
2142,03941397,748
2143,03940466,111
2144,03941193,366
2151,03940237,3242
2152,03940236,2694
2153,03940234,971
2154,03940883,138
2155,03940884,25
2156,03940885,160
2157,03940986,397
2158,03940988,202
2159,18840105,228
2161,05530104,902
2162,05530304,846
2163,05530103,648
2165,03941090,1355
2171,15251406,1000
2172,15251202,654
2181,05340102,918
2182,05340105,786
2191,05750500,908
2201,05750108,1031
2202,05750004,803
2203,05750111,887
2204,05750204,1329
2211,05750300,1038
2212,05750301,555
2215,15250102,855
2216,15250303,192
2221,05370103,1763
2222,05370202,153
2223,05370301,1090
2224,05370306,1100
2225,05370502,1304
2231,05370703,1217
2232,05370702,299
2235,05370802,803
2236,05370809,19
2241,06290103,2123
2242,06290101,1582
2243,06290005,479
2244,06290002,412
2245,06290006,518
2251,06260007,1755
2252,06260004,707
2253,06260001,2560
2254,06260009,220
2261,19160101,1153
2262,19160602,815
2263,19160200,2449
2264,19160300,1207
2265,19160301,1320
2266,19160502,1035
2267,19161201,147
2271,19161300,1779
2272,19160804,1150
2273,19161001,2483
2274,19161100,1745
2275,19161200,1170
2281,06030111,1035
2282,06030224,2195
2283,06030434,1819
2284,06030643,2141
2285,06030854,1923
2286,06030961,3668
2287,06030771,2222
2288,06030581,1675
2289,06031194,731
2291,17830610,1364
2292,17830611,1058
2295,17830801,1181
2311,05460003,1022
2312,05460101,1159
2313,05460405,1556
2314,05460408,1205
2315,05460302,2978
2316,05460301,2453
2317,05460800,1898
2318,05460805,1153
2321,05460406,5142
2322,05460505,54
2323,05460505,150
2324,05460503,2569
2331,05460903,1918
2332,05460602,2769
2333,05460700,1740
2334,05460701,926
2341,05790102,1559
2342,05790501,1615
2343,05790203,1411
2351,05470000,773
2352,05470001,1696
2353,05470008,1411
2355,18840202,612
2361,15252102,1030
2362,15252202,117
2371,18840000,2113
2374,18840104,236
2375,18840102,580
2376,18840101,266
2377,18840001,1139
2381,06380001,566
2382,06381006,877
2391,04849101,750
2394,04849403,982
2396,04849603,756
2401,04840108,1134
2402,04840211,936
2403,04840306,1234
2404,04840403,986
2405,04840501,1304
2406,04840603,1628
2407,04840701,304
2408,04840802,1679
2409,04840901,15
2411,19010103,799
2412,19010217,756
2415,19010302,665
2421,05690101,3255
2431,05690308,404
2432,05690411,68
2435,05690614,645
2441,05690926,991
2445,04844503,230
2451,18840408,838
2461,05691029,1633
2465,18840300,555
2471,04847101,442
2481,18840203,773
2491,05184317,378
2492,05184420,3193
2493,05184418,1687
2495,05184106,181
2496,05184212,2806
2497,05184213,2061
2498,05184215,1915
2511,05182813,2320
2512,05182814,2631
2513,05182811,2530
2514,05182812,1146
2515,05182718,2264
2516,05183826,2269
2517,05181143,1951
2518,05182245,2746
2521,05183822,3449
2522,05183825,4474
2523,05183824,1951
2524,05183823,1426
2525,05182915,2792
2526,05182916,2809
2531,05183638,2464
2532,05183639,2525
2533,05183637,2796
2541,05183480,2176
2542,05183398,3475
2543,05183396,2871
2544,05183387,3817
2545,05183488,2704
2546,05183284,2774
2547,05183284,4142
2548,05184002,3203
2551,05181840,3182
2552,05181786,5553
2553,05181697,4091
2554,05181591,1265
2555,05181492,2285
2561,05182055,1370
2562,05182055,2029
2563,05182054,2820
2564,05181953,3355
2565,05181251,2744
2566,05181309,2118
2571,05183032,1688
2572,05183034,2150
2573,05183135,2783
2574,05183130,2518
2581,05180908,1389
2582,05180907,3335
2583,05180800,2750
2584,05180704,1772
2585,05180546,2993
2586,05180703,2788
2587,05180271,3002
2591,05182561,3122
2592,05182569,3048
2593,05182666,4457
2594,05182568,268
2595,05182664,2682
2596,05180479,1080
2597,05180476,2249
2611,05031104,1228
2612,05031207,1105
2613,05031305,1516
2614,05031405,995
2616,05031602,39
2622,05032204,1199
2623,05032303,992
2624,05032405,2040
2625,05032501,1846
2626,05032600,7
2627,05032700,1057
2628,05032805,1696
2629,05032900,91
2631,19260223,1652
2632,19260227,521
2635,18420001,3567
2636,18420000,1467
2641,19260102,2020
2642,19260104,1433
2643,19260106,1035
2645,19260343,1194
2651,16212131,895
2652,16212321,1037
2661,16211111,1518
2662,16211321,1060
2665,16213141,1042
2671,17830101,2483
2672,17830113,1418
2673,17830161,1113
2675,17830257,836
2676,17830301,1262
2678,17830712,1535
2681,17830504,1468
2684,17831001,349
2685,17830902,1150
2691,17830420,1587
2692,17830402,1047
2693,17830480,851
2694,17830406,839
2711,06370203,797
2712,06370103,915
2713,06370404,1477
2715,06370504,940
2716,06370511,1267
2717,06370610,599
2718,06371005,954
2719,06371017,1071
2721,06371110,659
2722,06370303,926
2723,06370808,732
2724,06370809,803
2725,06370704,580
2726,06370702,961
2727,06370802,670
2728,06370906,821
2729,06371118,1217
2731,04843103,832
2735,06380404,23
2741,06270303,987
2742,06270204,2989
2743,06270202,2186
2751,18920104,499
2752,18920101,44
2761,18920211,1252
2771,04847011,1088
2801,05130100,1004
2802,05130200,2623
2803,05130301,1505
2804,05130400,1631
2805,05130500,2525
2806,05130604,1680
2807,05130701,1240
2808,05130800,135
2809,05130904,627
2811,19010507,944
2821,19311000,1565
2825,19310700,497
2831,19310300,1140
2841,18920304,908
2851,19310807,494
2855,19311100,195
2861,19310402,1335
2865,19310600,757
2871,19311200,1965
2872,19311204,531
2901,05020119,1013
2902,05020224,957
2903,05020332,1221
2904,05020443,885
2905,05020556,947
2906,05020662,1022
2907,05020773,1088
2908,05020887,461
2909,05020991,710
2911,18920409,905
2912,18920416,1118
2913,18920491,183
2914,18920415,1065
2921,05420000,1098
2922,05420001,3489
2923,05420002,2736
2924,05420003,1704
2925,05420004,2870
2926,05420005,1001
2931,19310100,889
2935,19310200,1744
2941,19310000,578
2951,04820103,627
2952,04820501,196
2953,04820307,500
2954,04820303,393
2957,19781201,1833
2959,19781803,784
2961,19780903,317
2964,19780604,1518
2965,19781301,723
2967,19781003,607
2968,19781901,42
2969,19781603,584
2971,19780203,795
2973,19781101,327
2974,19780302,292
2975,19781508,122
2977,19780502,221
2981,05970100,936
2982,05970200,1857
2983,05970600,4614
2984,05970500,1608
2985,05970300,2566
2986,05970400,3534
2987,05970700,3907
2988,05970800,1350
2989,05970900,228
2991,04890512,665
2992,04893164,1103
2993,04891431,934
2994,04892039,1866
2995,06420802,600
3011,05990110,12265
3012,05990112,4190
3013,05990113,623
3014,05990111,2796
3015,05990119,875
3016,05990118,1367
3021,05990325,3086
3022,05990324,2293
3023,05990324,2397
3024,05990320,2689
3025,05990321,2089
3026,05990322,2107
3027,05990323,3033
3028,05990327,1573
3029,05990329,1441
3031,05990814,3781
3032,05990515,1689
3033,05990516,1556
3034,05990837,3488
